time,close
10-28-14,85.408
10-29-14,85.952
10-30-14,86.147
10-31-14,86.917
11-04-14,86.984
11-05-14,87.444
11-06-14,88.012
11-07-14,87.642
11-10-14,87.81
11-11-14,87.531
11-12-14,87.822
11-13-14,87.674
11-14-14,87.525
11-17-14,87.926
11-18-14,87.575
11-19-14,87.647
11-20-14,87.591
11-21-14,88.31
11-24-14,88.151
11-25-14,87.92
11-26-14,87.607
11-28-14,88.356
12-01-14,87.946
12-02-14,88.647
12-03-14,88.956
12-04-14,88.704
12-05-14,89.334
12-08-14,89.041
12-09-14,88.69
12-10-14,88.271
12-11-14,88.663
12-12-14,88.363
12-15-14,88.46
12-16-14,88.125
12-17-14,89.133
12-18-14,89.235
12-19-14,89.598
12-22-14,89.77
12-23-14,90.064
12-24-14,89.967
12-26-14,90.03
12-29-14,90.19
12-30-14,89.991
12-31-14,90.269
01-02-15,91.08
01-05-15,91.378
01-06-15,91.499
01-07-15,91.89
01-08-15,92.368
01-09-15,91.935
01-12-15,91.983
01-13-15,92.31
01-14-15,92.161
01-15-15,92.352
01-16-15,92.52
01-20-15,93.046
01-21-15,92.904
01-22-15,94.077
01-23-15,94.762
01-26-15,94.802
01-27-15,94.022
01-28-15,94.467
01-29-15,94.782
01-30-15,94.804
02-02-15,94.504
02-03-15,93.6
02-04-15,93.986
02-05-15,93.569
02-06-15,94.698
02-09-15,94.449
02-10-15,94.758
02-11-15,94.985
02-12-15,94.094
02-13-15,94.201
02-17-15,94.061
02-18-15,94.198
02-19-15,94.404
02-20-15,94.253
02-23-15,94.569
02-24-15,94.493
02-25-15,94.213
02-26-15,95.292
02-27-15,95.293
03-02-15,95.462
03-03-15,95.383
03-04-15,95.965
03-05-15,96.378
03-06-15,97.615
03-09-15,97.588
03-10-15,98.618
03-11-15,99.795
03-12-15,99.435
03-13-15,100.33
03-16-15,99.604
03-17-15,99.585
03-18-15,98.55
03-19-15,99.26
03-20-15,97.909
03-23-15,97.033
03-24-15,97.193
03-25-15,96.979
03-26-15,97.436
03-27-15,97.291
03-30-15,97.975
03-31-15,98.357
04-01-15,98.185
04-02-15,97.436
04-06-15,96.777
04-07-15,97.83
04-08-15,97.94
04-09-15,99.155
04-10-15,99.338
04-13-15,99.49
04-14-15,98.733
04-15-15,98.319
04-16-15,97.415
04-17-15,97.52
04-20-15,97.941
04-21-15,98.004
04-22-15,97.932
04-23-15,97.278
04-24-15,96.922
04-27-15,96.765
04-28-15,96.092
04-29-15,95.209
04-30-15,94.6
05-01-15,95.297
05-04-15,95.48
05-05-15,95.076
05-06-15,94.087
05-07-15,94.635
05-08-15,94.794
05-11-15,95.011
05-12-15,94.534
05-13-15,93.617
05-14-15,93.457
05-15-15,93.135
05-18-15,94.221
05-19-15,95.267
05-20-15,95.448
05-21-15,95.255
05-22-15,96.014
05-26-15,97.299
05-27-15,97.371
05-28-15,96.965
05-29-15,96.907
06-01-15,97.392
06-02-15,95.835
06-03-15,95.465
06-04-15,95.461
06-05-15,96.306
06-08-15,95.299
06-09-15,95.166
06-10-15,94.646
06-11-15,94.976
06-12-15,94.972
06-15-15,94.81
06-16-15,94.999
06-17-15,94.296
06-18-15,94.042
06-19-15,94.085
06-22-15,94.329
06-23-15,95.432
06-24-15,95.264
06-25-15,95.187
06-26-15,95.472
06-29-15,94.79
06-30-15,95.485
07-01-15,96.31
07-02-15,96.113
07-06-15,96.298
07-07-15,96.865
07-08-15,96.294
07-09-15,96.606
07-10-15,96.025
07-13-15,96.858
07-14-15,96.643
07-15-15,97.166
07-16-15,97.668
07-17-15,97.862
07-20-15,98.029
07-21-15,97.328
07-22-15,97.598
07-23-15,97.115
07-24-15,97.244
07-27-15,96.502
07-28-15,96.772
07-29-15,96.976
07-30-15,97.56
07-31-15,97.336
08-03-15,97.494
08-04-15,97.931
08-05-15,97.958
08-06-15,97.833
08-07-15,97.563
08-10-15,97.159
08-11-15,97.29
08-12-15,96.262
08-13-15,96.445
08-14-15,96.52
08-17-15,96.806
08-18-15,97.04
08-19-15,96.359
08-20-15,95.98
08-21-15,95.008
08-24-15,93.332
08-25-15,94.53
08-26-15,95.1
08-27-15,95.61
08-28-15,96.106
08-31-15,95.824
09-01-15,95.45
09-02-15,95.828
09-03-15,96.405
09-04-15,96.229
09-08-15,95.985
09-09-15,96.012
09-10-15,95.456
09-11-15,95.194
09-14-15,95.246
09-15-15,95.611
09-16-15,95.42
09-17-15,94.55
09-18-15,94.863
09-21-15,95.894
09-22-15,96.283
09-23-15,96.068
09-24-15,95.994
09-25-15,96.269
