time,usdjpy close,usejpy volume,eurusd close,eurusd volume
10/24/18 14:00,112.556,40153,1.13932,51453
10/24/18 18:00,112.256,29675,1.13924,26869
10/24/18 22:00,111.948,15951,1.1407,8854
10/25/18 2:00,112.088,19016,1.14128,8873
10/25/18 6:00,112.282,29209,1.14098,41731
10/25/18 10:00,112.315,23964,1.14302,50954
10/25/18 14:00,112.604,41807,1.13719,59693
10/25/18 18:00,112.412,14451,1.13748,22926
10/25/18 22:00,112.412,11284,1.13681,11016
10/26/18 2:00,112.22,24825,1.13689,21470
10/26/18 6:00,112.004,32794,1.1379,43349
10/26/18 10:00,112.134,35188,1.13446,53304
10/26/18 14:00,111.954,62539,1.13956,56913
10/26/18 18:00,111.892,35754,1.14033,25858
10/28/18 21:00,111.952,11865,1.13898,6583
10/29/18 1:00,111.973,16855,1.13918,10615
10/29/18 5:00,111.95,18305,1.13835,28020
10/29/18 9:00,112.347,28249,1.13864,66597
10/29/18 13:00,112.494,34410,1.13788,50754
10/29/18 17:00,112.384,27785,1.13727,21238
10/29/18 21:00,112.5,8156,1.13762,7533
10/30/18 1:00,112.71,15647,1.13812,10231
10/30/18 5:00,112.841,17268,1.13778,30919
10/30/18 9:00,112.88,24815,1.13709,47076
10/30/18 13:00,112.836,49511,1.13524,51485
10/30/18 17:00,113.081,21577,1.13456,18073
10/30/18 21:00,113.233,6515,1.13422,4693
10/31/18 1:00,113.232,13081,1.13424,9963
10/31/18 5:00,113.114,17499,1.13544,30767
10/31/18 9:00,113.235,18610,1.13224,43700
10/31/18 13:00,112.928,30233,1.13133,68448
10/31/18 17:00,112.944,13793,1.13117,25538
10/31/18 21:00,112.784,8036,1.13278,10577
11/1/18 1:00,112.862,13681,1.13432,15669
11/1/18 5:00,112.882,14997,1.13782,39656
11/1/18 9:00,112.853,18489,1.13872,55733
11/1/18 13:00,112.728,30767,1.14077,56257
11/1/18 17:00,112.707,10114,1.14084,24565
11/1/18 21:00,112.803,8197,1.14014,6380
11/2/18 1:00,112.959,13333,1.1409,13220
11/2/18 5:00,112.883,23012,1.14304,44202
11/2/18 9:00,112.966,22217,1.1417,56240
11/2/18 13:00,113.126,43321,1.13856,68990
11/2/18 17:00,113.203,16504,1.13874,23939
11/4/18 22:00,113.14,12190,1.1389,12617
11/5/18 2:00,113.251,11989,1.13898,11260
11/5/18 6:00,113.272,11333,1.13818,31727
11/5/18 10:00,113.214,12491,1.13786,39611
11/5/18 14:00,113.17,17895,1.13954,41236
11/5/18 18:00,113.194,7119,1.14078,19334
11/5/18 22:00,113.28,8617,1.1407,8640
11/6/18 2:00,113.332,7432,1.14052,9624
11/6/18 6:00,113.19,13150,1.1406,37187
11/6/18 10:00,113.186,13740,1.14277,47165
11/6/18 14:00,113.481,19139,1.14119,44324
11/6/18 18:00,113.437,7497,1.14269,17615
11/6/18 22:00,113.556,22530,1.14197,26006
11/7/18 2:00,113.146,22755,1.14516,27157
11/7/18 6:00,113.051,19365,1.14908,56854
11/7/18 10:00,113.271,17266,1.14796,54978
11/7/18 14:00,113.333,20723,1.14644,53200
11/7/18 18:00,113.516,12445,1.14264,32369
11/7/18 22:00,113.598,7715,1.14326,9469
11/8/18 2:00,113.651,9034,1.1434,13150
11/8/18 6:00,113.682,12607,1.14228,44385
11/8/18 10:00,113.682,14970,1.14268,51036
11/8/18 14:00,113.956,17812,1.13925,54348
11/8/18 18:00,114.066,14938,1.13626,34354
11/8/18 22:00,113.95,8460,1.13592,11247
11/9/18 2:00,113.914,8585,1.13494,14908
11/9/18 6:00,113.887,14060,1.13374,47615
11/9/18 10:00,113.888,14728,1.13511,44373
11/9/18 14:00,113.79,27292,1.13326,59504
11/9/18 18:00,113.813,10561,1.1335,19627
11/11/18 22:00,113.968,16360,1.1325,13069
11/12/18 2:00,114.05,9479,1.13102,13365
11/12/18 6:00,113.93,18876,1.1257,60384
11/12/18 10:00,113.81,14438,1.1272,43466
11/12/18 14:00,113.79,20493,1.1245,42996
11/12/18 18:00,113.848,12064,1.12176,18682
11/12/18 22:00,113.722,15201,1.12356,13753
11/13/18 2:00,113.988,16396,1.12396,20630
11/13/18 6:00,114.099,17042,1.12354,53623
11/13/18 10:00,113.874,13362,1.12672,59819
11/13/18 14:00,113.948,30825,1.12787,70583
11/13/18 18:00,113.808,14227,1.12902,25005
11/13/18 22:00,113.911,11253,1.13078,18930
11/14/18 2:00,113.914,10916,1.12902,19747
11/14/18 6:00,113.888,13361,1.12703,48201
11/14/18 10:00,113.996,15785,1.1285,42624
11/14/18 14:00,113.63,29911,1.12938,74374
11/14/18 18:00,113.628,24265,1.13094,58719
11/14/18 22:00,113.534,12092,1.13156,12694
11/15/18 2:00,113.534,10233,1.13328,13191
11/15/18 6:00,113.397,16082,1.12854,69885
11/15/18 10:00,113.282,18908,1.12908,72666
11/15/18 14:00,113.362,38084,1.1315,76449
11/15/18 18:00,113.634,19163,1.13288,33977
11/15/18 22:00,113.452,9656,1.13397,11988
11/16/18 2:00,113.34,8082,1.13418,12357
11/16/18 6:00,113.39,15106,1.13398,52986
11/16/18 10:00,112.9,19532,1.13892,56195
11/16/18 14:00,112.848,34102,1.14124,60188
11/16/18 18:00,112.827,14276,1.14186,19805
11/18/18 22:00,112.696,19312,1.14118,13072
11/19/18 2:00,112.815,9919,1.13975,8704
11/19/18 6:00,112.66,13601,1.14278,28230
11/19/18 10:00,112.826,12576,1.14288,34966
11/19/18 14:00,112.444,28029,1.14576,42499
11/19/18 18:00,112.558,13824,1.1453,13198
11/19/18 22:00,112.621,10625,1.1447,9521
11/20/18 2:00,112.534,7901,1.14488,11096
11/20/18 6:00,112.438,14214,1.14276,42198
11/20/18 10:00,112.357,16271,1.14069,41434
11/20/18 14:00,112.698,40739,1.1376,50631
11/20/18 18:00,112.758,15939,1.13704,19527
11/20/18 22:00,112.878,11676,1.13692,7586
11/21/18 2:00,112.824,8590,1.138,9285
11/21/18 6:00,112.952,12006,1.1384,33580
11/21/18 10:00,112.873,19018,1.1412,52440
11/21/18 14:00,113.011,22810,1.13964,42324
11/21/18 18:00,113.062,6800,1.13862,14621
11/21/18 22:00,113.014,6886,1.13905,7588
11/22/18 2:00,113.02,5895,1.13975,8347
11/22/18 6:00,112.936,8930,1.14038,22417
11/22/18 10:00,112.966,9319,1.14034,36716
11/22/18 14:00,112.966,6274,1.14074,19626
11/22/18 18:00,112.95,5372,1.14026,10369
11/22/18 22:00,112.978,2664,1.14072,4296
11/23/18 2:00,112.849,3668,1.14144,8338
11/23/18 6:00,112.836,10087,1.13744,37422
11/23/18 10:00,112.752,11886,1.13505,44036
11/23/18 14:00,112.833,16524,1.1335,36668
11/23/18 18:00,112.954,3007,1.13359,6677
11/25/18 22:00,113.224,12622,1.1331,13176
11/26/18 2:00,113.204,8722,1.13478,13144
11/26/18 6:00,113.224,13073,1.13741,41884
11/26/18 10:00,113.297,10227,1.1365,31641
11/26/18 14:00,113.516,16786,1.13394,35488
11/26/18 18:00,113.594,7371,1.1328,12985
11/26/18 22:00,113.438,7190,1.13296,8288
11/27/18 2:00,113.474,6006,1.13428,10834
11/27/18 6:00,113.63,15374,1.13096,52731
11/27/18 10:00,113.633,11131,1.13206,41249
11/27/18 14:00,113.778,22884,1.12855,49915
11/27/18 18:00,113.782,9436,1.12934,19389
11/27/18 22:00,113.776,6389,1.12878,7531
11/28/18 2:00,113.886,5636,1.12942,10196
11/28/18 6:00,113.752,8670,1.1281,31156
11/28/18 10:00,113.832,8800,1.12877,34407
11/28/18 14:00,113.701,23882,1.1344,70194
11/28/18 18:00,113.684,13658,1.13667,31728
11/28/18 22:00,113.468,7011,1.13704,8778
11/29/18 2:00,113.24,7064,1.13862,13350
11/29/18 6:00,113.278,8523,1.13704,39968
11/29/18 10:00,113.333,10399,1.13715,39755
11/29/18 14:00,113.468,20982,1.13725,48005
11/29/18 18:00,113.477,9323,1.1393,21994
11/29/18 22:00,113.396,7026,1.13905,8544
11/30/18 2:00,113.396,6286,1.13916,10459
11/30/18 6:00,113.496,7532,1.13712,32380
11/30/18 10:00,113.527,11295,1.13568,40862
11/30/18 14:00,113.639,16970,1.13154,54636
11/30/18 18:00,113.498,7097,1.13181,15265
12/2/18 22:00,113.659,10588,1.13387,8955
12/3/18 2:00,113.494,8398,1.1366,11851
12/3/18 6:00,113.437,8498,1.1366,33121
12/3/18 10:00,113.544,9268,1.13242,37336
12/3/18 14:00,113.626,15508,1.1354,39964
12/3/18 18:00,113.644,6248,1.13544,15138
12/3/18 22:00,113.318,9292,1.13661,10199
12/4/18 2:00,113.136,12829,1.13746,14633
12/4/18 6:00,112.754,13496,1.14109,48034
12/4/18 10:00,112.896,11596,1.13896,41206
12/4/18 14:00,112.772,25996,1.13431,62911
12/4/18 18:00,112.78,19875,1.13434,24923
12/4/18 22:00,112.99,10996,1.1336,11951
12/5/18 2:00,113.056,8676,1.13193,13384
12/5/18 6:00,112.976,8151,1.13378,24867
12/5/18 10:00,113.071,6954,1.13555,21060
12/5/18 14:00,113.148,8590,1.13502,30518
12/5/18 18:00,113.192,3090,1.13449,7905
12/5/18 22:00,112.819,14422,1.13475,15900
12/6/18 2:00,112.746,14689,1.13458,16363
12/6/18 6:00,112.62,20358,1.1341,45654
12/6/18 10:00,112.684,19960,1.13601,46047
12/6/18 14:00,112.544,49768,1.13865,82655
12/6/18 18:00,112.672,21598,1.13768,21919
12/6/18 22:00,112.679,10021,1.13756,10850
12/7/18 2:00,112.912,7762,1.13672,9286
12/7/18 6:00,112.846,12490,1.1366,28701
12/7/18 10:00,112.764,17975,1.13888,49085
12/7/18 14:00,112.728,36543,1.13946,68618
12/7/18 18:00,112.706,18327,1.13793,26897
12/9/18 22:00,112.298,14804,1.14368,15475
12/10/18 2:00,112.472,10107,1.14356,12252
12/10/18 6:00,112.722,14038,1.14127,37123
12/10/18 10:00,112.856,16324,1.1411,49234
12/10/18 14:00,113.122,45308,1.13598,73583
12/10/18 18:00,113.348,17556,1.13552,20353
12/10/18 22:00,113.068,10893,1.13624,8837
12/11/18 2:00,113.09,8278,1.1371,9943
12/11/18 6:00,113.028,10128,1.13818,30426
12/11/18 10:00,113.218,14995,1.137,37932
12/11/18 14:00,113.307,35386,1.13194,68656
12/11/18 18:00,113.384,19446,1.13186,28446
12/11/18 22:00,113.493,11571,1.13304,9836
12/12/18 2:00,113.432,7813,1.13324,10754
12/12/18 6:00,113.471,13943,1.13338,36846
12/12/18 10:00,113.343,15132,1.13598,49690
12/12/18 14:00,113.191,24315,1.1377,61300
12/12/18 18:00,113.28,13615,1.13687,27904
12/12/18 22:00,113.428,5123,1.13679,7332
12/13/18 2:00,113.466,6660,1.13657,8405
12/13/18 6:00,113.469,12227,1.13773,32047
12/13/18 10:00,113.527,16677,1.13446,48206
12/13/18 14:00,113.632,27313,1.13568,63935
12/13/18 18:00,113.608,11243,1.13576,20762
12/13/18 22:00,113.466,8026,1.1363,9441
12/14/18 2:00,113.469,6904,1.13606,9029
12/14/18 6:00,113.522,14627,1.12932,46947
12/14/18 10:00,113.636,16602,1.1274,39959
12/14/18 14:00,113.332,24523,1.1301,42430
12/14/18 18:00,113.39,10768,1.13051,19143
12/16/18 22:00,113.464,11199,1.13072,19016
12/17/18 2:00,113.478,7529,1.13084,7123
12/17/18 6:00,113.342,12190,1.13296,24902
12/17/18 10:00,113.13,15602,1.13505,36951
